<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,,,
model,generative_type,rank,danish,dutch,english,faroese,german,icelandic,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge
<a href='https://hf.co/google/gemma-2-9b-it'>google/gemma-2-9b-it</a>,📝,2.16@@2.16,1.84@@1.84,1.99@@1.99,1.82@@1.82,2.75@@2.75,2.14@@2.14,2.82@@2.82,2.04@@2.04,1.92@@1.92,9241705984.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF</a>,📝,2.16@@2.16,2.01@@2.01,1.93@@1.93,1.79@@1.79,2.67@@2.67,2.15@@2.15,2.50@@2.50,2.37@@2.37,1.87@@1.87,70553706496.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3</a>,🤔,2.17@@2.17,1.78@@1.78,2.66@@2.66,1.69@@1.69,2.78@@2.78,1.99@@1.99,2.62@@2.62,2.01@@2.01,1.83@@1.83,20905482240.0,100352.0,32768.0,✓,✗
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.17@@2.17,1.77@@1.77,2.02@@2.02,1.83@@1.83,2.61@@2.61,2.20@@2.20,2.84@@2.84,2.12@@2.12,1.96@@1.96,7849978192.0,262400.0,?,✓,✗
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,2.19@@2.19,2.00@@2.00,2.07@@2.07,1.87@@1.87,2.76@@2.76,1.97@@1.97,2.70@@2.70,2.14@@2.14,2.03@@2.03,14659507200.0,100352.0,16384.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407</a>,📝,2.20@@2.20,2.01@@2.01,1.99@@1.99,1.69@@1.69,2.85@@2.85,1.94@@1.94,2.92@@2.92,2.10@@2.10,2.09@@2.09,12247782400.0,131072.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,2.20@@2.20,1.84@@1.84,2.06@@2.06,1.91@@1.91,2.93@@2.93,2.05@@2.05,2.79@@2.79,1.99@@1.99,2.03@@2.03,27227128320.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,2.21@@2.21,2.07@@2.07,1.93@@1.93,1.79@@1.79,3.05@@3.05,1.95@@1.95,2.88@@2.88,2.13@@2.13,1.86@@1.86,8190735360.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.21@@2.21,1.92@@1.92,1.97@@1.97,1.67@@1.67,2.90@@2.90,2.02@@2.02,2.94@@2.94,2.22@@2.22,2.00@@2.00,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.22@@2.22,1.93@@1.93,2.04@@2.04,1.83@@1.83,3.16@@3.16,2.03@@2.03,2.73@@2.73,2.06@@2.06,1.96@@1.96,110468824832.0,151552.0,131072.0,✓,✗
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,2.23@@2.23,2.01@@2.01,1.89@@1.89,1.66@@1.66,2.77@@2.77,2.02@@2.02,3.01@@3.01,2.38@@2.38,2.07@@2.07,32296476672.0,256000.0,131072.0,✗,✗
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.24@@2.24,1.91@@1.91,1.99@@1.99,1.69@@1.69,3.06@@3.06,2.07@@2.07,3.03@@3.03,2.20@@2.20,1.94@@1.94,8190735360.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,2.24@@2.24,1.98@@1.98,1.93@@1.93,1.41@@1.41,3.29@@3.29,1.99@@1.99,3.16@@3.16,2.25@@2.25,1.91@@1.91,34388917248.0,64000.0,4096.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-0325-32B'>allenai/OLMo-2-0325-32B</a>,🧠,2.25@@2.25,2.21@@2.21,2.04@@2.04,1.57@@1.57,2.96@@2.96,2.08@@2.08,2.84@@2.84,2.10@@2.10,2.22@@2.22,32234279936.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/google/gemma-2-9b'>google/gemma-2-9b</a>,🧠,2.27@@2.27,1.96@@1.96,2.09@@2.09,1.95@@1.95,3.10@@3.10,2.06@@2.06,2.98@@2.98,2.04@@2.04,2.00@@2.00,9241705984.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.28@@2.28,2.05@@2.05,2.06@@2.06,1.79@@1.79,2.81@@2.81,2.11@@2.11,2.94@@2.94,2.38@@2.38,2.13@@2.13,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,2.33@@2.33,1.89@@1.89,2.05@@2.05,1.73@@1.73,3.30@@3.30,2.07@@2.07,3.14@@3.14,2.41@@2.41,2.04@@2.04,68976653312.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,2.33@@2.33,2.00@@2.00,2.00@@2.00,1.74@@1.74,3.09@@3.09,2.11@@2.11,3.23@@3.23,2.43@@2.43,2.03@@2.03,68976648192.0,32000.0,32764.0,✓,✗
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,2.34@@2.34,1.93@@1.93,2.21@@2.21,1.69@@1.69,3.17@@3.17,2.06@@2.06,3.30@@3.30,2.41@@2.41,1.95@@1.95,11168796672.0,32128.0,32768.0,✓,✓
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.34@@2.34,2.09@@2.09,2.12@@2.12,1.97@@1.97,2.85@@2.85,2.36@@2.36,2.86@@2.86,2.36@@2.36,2.10@@2.10,8000000000.0,256128.0,1048576.0,✓,✗
<a href='https://hf.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1</a>,🧠,2.35@@2.35,2.05@@2.05,2.12@@2.12,1.88@@1.88,2.99@@2.99,2.18@@2.18,3.02@@3.02,2.37@@2.37,2.18@@2.18,46702792704.0,32000.0,32768.0,✓,✗
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.36@@2.36,2.13@@2.13,1.98@@1.98,1.58@@1.58,3.33@@3.33,1.98@@1.98,3.24@@3.24,2.49@@2.49,2.13@@2.13,10731524096.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO</a>,📝,2.37@@2.37,2.18@@2.18,2.14@@2.14,1.73@@1.73,2.98@@2.98,2.20@@2.20,3.02@@3.02,2.49@@2.49,2.23@@2.23,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.37@@2.37,1.92@@1.92,2.05@@2.05,1.97@@1.97,3.36@@3.36,2.13@@2.13,3.40@@3.40,2.18@@2.18,1.96@@1.96,?,128000.0,4096.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.38@@2.38,2.08@@2.08,2.17@@2.17,1.79@@1.79,3.00@@3.00,2.28@@2.28,3.04@@3.04,2.49@@2.49,2.19@@2.19,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,2.39@@2.39,2.07@@2.07,2.29@@2.29,2.06@@2.06,3.05@@3.05,2.30@@2.30,2.93@@2.93,2.27@@2.27,2.18@@2.18,7849978192.0,262400.0,?,✓,✗
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.39@@2.39,2.12@@2.12,2.06@@2.06,1.78@@1.78,3.23@@3.23,2.16@@2.16,3.23@@3.23,2.41@@2.41,2.13@@2.13,4022468096.0,151936.0,262144.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,2.39@@2.39,2.08@@2.08,2.07@@2.07,1.84@@1.84,3.22@@3.22,2.21@@2.21,3.24@@3.24,2.35@@2.35,2.13@@2.13,4022468096.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.39@@2.39,2.08@@2.08,2.07@@2.07,1.84@@1.84,3.22@@3.22,2.21@@2.21,3.22@@3.22,2.39@@2.39,2.07@@2.07,4022468096.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B</a>,📝,2.39@@2.39,2.20@@2.20,2.16@@2.16,1.76@@1.76,3.00@@3.00,2.27@@2.27,3.04@@3.04,2.48@@2.48,2.23@@2.23,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,2.40@@2.40,2.24@@2.24,2.18@@2.18,1.87@@1.87,2.94@@2.94,2.25@@2.25,2.96@@2.96,2.50@@2.50,2.30@@2.30,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,2.40@@2.40,2.13@@2.13,2.19@@2.19,1.80@@1.80,3.22@@3.22,2.19@@2.19,3.19@@3.19,2.38@@2.38,2.09@@2.09,8190735360.0,151936.0,131072.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.40@@2.40,1.86@@1.86,2.10@@2.10,1.88@@1.88,3.35@@3.35,2.24@@2.24,3.42@@3.42,2.34@@2.34,2.02@@2.02,22637328384.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B</a>,📝,2.41@@2.41,2.28@@2.28,2.19@@2.19,1.78@@1.78,2.93@@2.93,2.27@@2.27,3.09@@3.09,2.51@@2.51,2.28@@2.28,8030326784.0,128264.0,131072.0,✓,✗
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base</a>,🧠,2.41@@2.41,2.24@@2.24,2.22@@2.22,1.80@@1.80,3.08@@3.08,2.29@@2.29,3.02@@3.02,2.42@@2.42,2.27@@2.27,8414105600.0,131072.0,8192.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.41@@2.41,2.21@@2.21,2.25@@2.25,1.78@@1.78,3.08@@3.08,2.36@@2.36,3.12@@3.12,2.44@@2.44,2.03@@2.03,32234279936.0,100352.0,4096.0,✗,✗
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.42@@2.42,2.10@@2.10,2.22@@2.22,2.07@@2.07,3.11@@3.11,2.34@@2.34,2.97@@2.97,2.37@@2.37,2.19@@2.19,8053338176.0,131072.0,65536.0,✗,✗
<a href='https://hf.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1</a>,📝,2.42@@2.42,2.13@@2.13,2.10@@2.10,1.78@@1.78,3.11@@3.11,2.13@@2.13,3.29@@3.29,2.57@@2.57,2.22@@2.22,46702792704.0,32000.0,32768.0,✓,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B</a>,🤔,2.42@@2.42,1.86@@1.86,2.14@@2.14,2.21@@2.21,3.34@@3.34,2.35@@2.35,3.38@@3.38,2.25@@2.25,1.86@@1.86,70553706496.0,128256.0,131072.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.43@@2.43,2.05@@2.05,2.18@@2.18,1.94@@1.94,3.32@@3.32,2.37@@2.37,2.96@@2.96,2.33@@2.33,2.26@@2.26,?,?,1047576.0,✓,✗
<a href='https://hf.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B</a>,📝,2.44@@2.44,2.27@@2.27,1.96@@1.96,1.63@@1.63,3.34@@3.34,2.09@@2.09,3.44@@3.44,2.46@@2.46,2.31@@2.31,34980831232.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat</a>,📝,2.45@@2.45,2.17@@2.17,2.08@@2.08,1.80@@1.80,3.12@@3.12,2.18@@2.18,3.42@@3.42,2.65@@2.65,2.18@@2.18,14167290880.0,152064.0,32768.0,✗,✗
<a href='https://hf.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview</a>,📝,2.45@@2.45,2.22@@2.22,2.22@@2.22,1.91@@1.91,3.00@@3.00,2.30@@2.30,3.06@@3.06,2.54@@2.54,2.30@@2.30,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct</a>,📝,2.47@@2.47,2.15@@2.15,2.53@@2.53,1.90@@1.90,3.31@@3.31,2.40@@2.40,3.22@@3.22,2.09@@2.09,2.18@@2.18,46997647360.0,67993.0,32768.0,✓,✗
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.48@@2.48,2.18@@2.18,2.35@@2.35,2.01@@2.01,3.07@@3.07,2.42@@2.42,3.14@@3.14,2.39@@2.39,2.30@@2.30,4300079472.0,262144.0,?,✓,✗
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,2.48@@2.48,2.25@@2.25,2.09@@2.09,1.90@@1.90,3.43@@3.43,2.27@@2.27,3.21@@3.21,2.47@@2.47,2.25@@2.25,51570323328.0,65536.0,262144.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.49@@2.49,2.22@@2.22,2.22@@2.22,2.01@@2.01,3.34@@3.34,2.31@@2.31,3.07@@3.07,2.53@@2.53,2.23@@2.23,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.51@@2.51,2.27@@2.27,2.32@@2.32,2.08@@2.08,3.25@@3.25,2.63@@2.63,2.95@@2.95,2.30@@2.30,2.26@@2.26,70599864480.0,131072.0,65536.0,✓,✗
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B</a>,🧠,2.51@@2.51,2.04@@2.04,2.57@@2.57,2.14@@2.14,3.27@@3.27,2.39@@2.39,3.44@@3.44,2.11@@2.11,2.16@@2.16,46997647360.0,67993.0,32768.0,✓,✗
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,2.52@@2.52,2.34@@2.34,2.20@@2.20,1.76@@1.76,3.37@@3.37,2.24@@2.24,3.30@@3.30,2.60@@2.60,2.32@@2.32,8019808256.0,131072.0,32768.0,✓,✗
<a href='https://hf.co/Nexusflow/Starling-LM-7B-beta'>Nexusflow/Starling-LM-7B-beta</a>,📝,2.53@@2.53,2.33@@2.33,2.25@@2.25,1.66@@1.66,3.56@@3.56,2.29@@2.29,3.40@@3.40,2.47@@2.47,2.27@@2.27,7241748480.0,32002.0,4096.0,✗,✗
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,2.54@@2.54,2.28@@2.28,2.26@@2.26,2.05@@2.05,3.43@@3.43,2.34@@2.34,3.09@@3.09,2.61@@2.61,2.28@@2.28,8030261248.0,128256.0,8192.0,✓,✗
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,2.54@@2.54,2.32@@2.32,2.11@@2.11,1.84@@1.84,3.26@@3.26,2.33@@2.33,3.31@@3.31,2.70@@2.70,2.44@@2.44,34980831232.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,2.57@@2.57,2.33@@2.33,2.00@@2.00,2.07@@2.07,3.56@@3.56,2.21@@2.21,3.30@@3.30,2.80@@2.80,2.32@@2.32,32763876352.0,152064.0,131072.0,✓,✗
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M</a>,📝,2.58@@2.58,2.28@@2.28,2.40@@2.40,2.15@@2.15,3.04@@3.04,2.61@@2.61,3.27@@3.27,2.48@@2.48,2.44@@2.44,4299915632.0,262144.0,128000.0,✓,✗
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,2.58@@2.58,2.30@@2.30,2.46@@2.46,1.72@@1.72,3.54@@3.54,2.29@@2.29,3.36@@3.36,2.67@@2.67,2.30@@2.30,8829407232.0,64000.0,4096.0,✓,✗
<a href='https://hf.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b</a>,📝,2.58@@2.58,2.42@@2.42,2.13@@2.13,1.85@@1.85,3.31@@3.31,2.25@@2.25,3.56@@3.56,2.72@@2.72,2.38@@2.38,8028033024.0,256000.0,8192.0,✗,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.59@@2.59,1.93@@1.93,2.14@@2.14,2.20@@2.20,3.77@@3.77,2.43@@2.43,3.33@@3.33,2.65@@2.65,2.30@@2.30,?,?,200000.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.62@@2.62,2.39@@2.39,2.38@@2.38,2.00@@2.00,3.22@@3.22,2.46@@2.46,3.51@@3.51,2.63@@2.63,2.41@@2.41,3606752256.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,2.62@@2.62,2.49@@2.49,2.40@@2.40,1.69@@1.69,3.30@@3.30,2.57@@2.57,3.38@@3.38,2.65@@2.65,2.48@@2.48,13716198400.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.65@@2.65,2.21@@2.21,2.27@@2.27,2.30@@2.30,3.51@@3.51,2.43@@2.43,3.70@@3.70,2.48@@2.48,2.32@@2.32,9152319488.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.67@@2.67,2.21@@2.21,2.36@@2.36,2.14@@2.14,3.45@@3.45,2.52@@2.52,3.70@@3.70,2.72@@2.72,2.30@@2.30,9152319488.0,128000.0,4096.0,✗,✗
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.68@@2.68,2.37@@2.37,2.55@@2.55,2.30@@2.30,3.40@@3.40,2.52@@2.52,3.19@@3.19,2.69@@2.69,2.45@@2.45,4300079472.0,262144.0,?,✓,✗
<a href='https://hf.co/google/gemma-7b'>google/gemma-7b</a>,🧠,2.68@@2.68,2.45@@2.45,2.49@@2.49,2.21@@2.21,3.37@@3.37,2.59@@2.59,3.32@@3.32,2.55@@2.55,2.46@@2.46,8537680896.0,256000.0,8192.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#minimal (zero-shot, val)</a>",🤔,2.68@@2.68,2.24@@2.24,2.40@@2.40,2.09@@2.09,3.89@@3.89,2.48@@2.48,3.40@@3.40,2.47@@2.47,2.47@@2.47,?,100256.0,272000.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct</a>,📝,2.68@@2.68,2.45@@2.45,2.44@@2.44,1.90@@1.90,3.49@@3.49,2.38@@2.38,3.50@@3.50,2.84@@2.84,2.45@@2.45,8170848256.0,49155.0,4096.0,✓,✗
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct</a>,📝,2.75@@2.75,2.59@@2.59,2.54@@2.54,2.18@@2.18,3.38@@3.38,2.39@@2.39,3.51@@3.51,2.82@@2.82,2.58@@2.58,8414105600.0,131072.0,8192.0,✓,✗
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.76@@2.76,2.48@@2.48,2.53@@2.53,2.37@@2.37,3.77@@3.77,2.60@@2.60,3.21@@3.21,2.78@@2.78,2.37@@2.37,8053338176.0,131072.0,65536.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base</a>,🧠,2.76@@2.76,2.50@@2.50,2.24@@2.24,2.03@@2.03,3.54@@3.54,2.40@@2.40,3.82@@3.82,2.93@@2.93,2.64@@2.64,8170835968.0,49152.0,4096.0,✓,✗
<a href='https://hf.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm</a>,🧠,2.77@@2.77,2.42@@2.42,2.84@@2.84,2.48@@2.48,3.28@@3.28,3.00@@3.00,3.09@@3.09,2.58@@2.58,2.49@@2.49,11429893120.0,51200.0,1024000.0,✓,✗
<a href='https://hf.co/TildeAI/TildeOpen-30b'>TildeAI/TildeOpen-30b#slow-tokenizer</a>,🧠,2.77@@2.77,2.39@@2.39,2.44@@2.44,2.71@@2.71,3.48@@3.48,3.07@@3.07,2.82@@2.82,2.53@@2.53,2.70@@2.70,30677882880.0,131072.0,65536.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,2.78@@2.78,2.57@@2.57,2.51@@2.51,2.14@@2.14,3.49@@3.49,2.58@@2.58,3.44@@3.44,2.93@@2.93,2.59@@2.59,7241732096.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3</a>,🧠,2.78@@2.78,2.53@@2.53,2.50@@2.50,2.18@@2.18,3.48@@3.48,2.53@@2.53,3.52@@3.52,2.96@@2.96,2.58@@2.58,7248023552.0,32768.0,32768.0,✓,✗
<a href='https://hf.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B</a>,🧠,2.78@@2.78,2.88@@2.88,2.52@@2.52,1.84@@1.84,3.67@@3.67,2.52@@2.52,3.54@@3.54,2.77@@2.77,2.51@@2.51,13716198400.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B</a>,📝,2.80@@2.80,2.68@@2.68,2.10@@2.10,2.04@@2.04,3.66@@3.66,2.70@@2.70,3.81@@3.81,2.95@@2.95,2.48@@2.48,8028033024.0,256000.0,8192.0,✗,✗
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,2.81@@2.81,2.59@@2.59,2.40@@2.40,1.95@@1.95,3.44@@3.44,2.43@@2.43,3.92@@3.92,3.23@@3.23,2.50@@2.50,4676271104.0,131072.0,?,✓,✗
<a href='https://hf.co/allenai/OLMo-2-1124-7B-Instruct'>allenai/OLMo-2-1124-7B-Instruct</a>,📝,2.84@@2.84,2.66@@2.66,2.64@@2.64,1.88@@1.88,3.50@@3.50,2.72@@2.72,3.65@@3.65,2.96@@2.96,2.69@@2.69,7298617344.0,100352.0,4096.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.84@@2.84,2.63@@2.63,2.55@@2.55,2.07@@2.07,3.52@@3.52,2.68@@2.68,3.71@@3.71,2.89@@2.89,2.63@@2.63,3212749824.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,2.85@@2.85,2.41@@2.41,2.88@@2.88,2.29@@2.29,3.49@@3.49,2.76@@2.76,3.84@@3.84,2.71@@2.71,2.46@@2.46,7768117248.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,2.86@@2.86,2.64@@2.64,2.58@@2.58,2.17@@2.17,3.64@@3.64,2.67@@2.67,3.70@@3.70,2.90@@2.90,2.54@@2.54,2031739904.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B</a>,🤔,2.86@@2.86,2.80@@2.80,2.63@@2.63,2.09@@2.09,3.56@@3.56,2.57@@2.57,3.53@@3.53,2.91@@2.91,2.77@@2.77,3075098624.0,128256.0,65536.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,2.86@@2.86,2.74@@2.74,2.62@@2.62,2.37@@2.37,3.35@@3.35,2.65@@2.65,3.62@@3.62,2.90@@2.90,2.60@@2.60,33715603456.0,49152.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.87@@2.87,2.64@@2.64,2.58@@2.58,2.17@@2.17,3.64@@3.64,2.67@@2.67,3.72@@3.72,2.90@@2.90,2.62@@2.62,2031739904.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,2.91@@2.91,2.63@@2.63,2.76@@2.76,2.17@@2.17,3.63@@3.63,2.76@@2.76,3.73@@3.73,2.94@@2.94,2.68@@2.68,68976653312.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/google/gemma-2-2b-it'>google/gemma-2-2b-it</a>,📝,2.91@@2.91,2.57@@2.57,2.63@@2.63,2.21@@2.21,3.86@@3.86,2.71@@2.71,3.86@@3.86,2.78@@2.78,2.63@@2.63,2614341888.0,256000.0,8192.0,✓,✗
